BIRTH_YEAR,COUNTY_NAME,POP,DTAPCOMP_RATE,MMR2_RATE,HEPBCOMP_RATE,POLIOCOMP_RATE,VARICELLA2_RATE,CHILD2SERIES_RATE
2019,LAKE OF THE WOODS,49,77.6,77.6,87.8,79.6,79.6,73.5
2017,MCLEOD,397,81.1,87.2,92.4,82.1,86.6,79.1
2017,STEARNS,2352,80.9,80.7,91.8,83,81.8,75.7
2017,SCOTT,2320,78.5,80.3,87.7,80.3,80.5,74.1
2017,POPE,143,81.8,83.2,90.2,82.5,81.8,79.7
2018,LINCOLN,66,80.3,81.8,90.9,81.8,80.3,77.3
2019,HENNEPIN,16502,76.1,74.9,86.9,76.4,75.8,69.7
2017,CHIPPEWA,198,88.4,88.4,95.5,89.4,87.4,85.9
2017,ST LOUIS,2208,82.5,83.7,89.8,83.3,83.1,79.9
2017,BECKER,468,76.7,79.1,86.1,79.5,78,74.8
2017,COTTONWOOD,175,82.3,84.6,89.1,85.1,84,79.4
2017,ROSEAU,198,73.2,77.8,85.9,76.8,76.8,71.7
2018,LAKE OF THE WOODS,35,82.9,82.9,91.4,85.7,82.9,80
2018,CARLTON,418,87.8,89.5,93.5,87.6,89,86.4
2018,MURRAY,89,79.8,80.9,91,80.9,79.8,76.4
2018,LAC QUI PARLE,88,86.4,89.8,93.2,90.9,89.8,86.4
2019,BLUE EARTH,795,81.1,80.1,89.8,81.4,80.4,77.4
2017,MORRISON,426,83.8,83.8,93.9,83.8,83.3,82.4
2019,ST LOUIS,2044,80.2,80.9,89.1,80.7,79.8,77.6
2017,NICOLLET,434,85,85.7,94.7,85.5,85.3,81.6
2017,FREEBORN,386,81.9,82.6,89.1,82.6,81.6,78.2
2017,LINCOLN,72,80.6,80.6,91.7,80.6,80.6,79.2
2017,LAKE,104,79.8,78.8,84.6,76.9,76,74
2019,PINE,288,76.7,78.8,85.8,78.8,78.1,73.6
2019,OTTER TAIL,711,73.7,74.1,86.9,74.1,73.1,69.8
2019,CASS,308,71.8,71.8,88,73.1,70.8,68.8
2019,LINCOLN,55,83.6,83.6,92.7,83.6,83.6,83.6
2019,NORMAN,86,74.4,74.4,89.5,75.6,74.4,70.9
2019,WILKIN,83,68.7,72.3,84.3,71.1,71.1,62.7
2019,TRAVERSE,34,70.6,67.6,88.2,70.6,67.6,64.7
2017,Statewide,79716,78.2,79.7,88.2,79.8,79.7,73.9
2019,Statewide,74796,77.4,76.8,87.6,77.8,77.1,72.2
2018,Statewide,77265,78,78.5,88.1,78.8,78.8,73.6
