"geography_description","geography_level","week_ending","respiratory_season","covid_19_dose_count","influenza_dose_count"
"Rensselaer","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","104"
"Richmond","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","0"
"Rockland","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","143"
"Saratoga","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","192"
"Schenectady","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","127"
"Schoharie","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","9"
"Schuyler","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","24"
"Seneca","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","31"
"St. Lawrence","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","37"
"Steuben","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","87"
"Suffolk","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","1314"
"Sullivan","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","16"
"Tioga","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","46"
"Tompkins","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","153"
"Ulster","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","79"
"Warren","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","37"
"Washington","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","18"
"Wayne","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","129"
"Westchester","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","716"
"Wyoming","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","38"
"Yates","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","40"
"Capital Region","REGION","2024-08-20T00:00:00.000","2024-2025","0","730"
"Central New York","REGION","2024-08-20T00:00:00.000","2024-2025","0","883"
"Finger Lakes","REGION","2024-08-20T00:00:00.000","2024-2025","0","2088"
"Long Island","REGION","2024-08-20T00:00:00.000","2024-2025","0","2661"
"Mid-Hudson","REGION","2024-08-20T00:00:00.000","2024-2025","0","1446"
"Mohawk Valley","REGION","2024-08-20T00:00:00.000","2024-2025","0","329"
